1000 5
8476,9131,6509,1240,7243
5283,5882,786,2812,7668
7794,5975,6029,9590,3111
7162,9346,5177,17,6796
1275,7247,3307,9752,2311
6829,1154,2155,550,8073
5805,9027,7204,2314,267
4448,7598,6150,5235,411
3818,3030,6386,9847,2620
9498,7010,1967,4675,7028
8764,5951,4275,2071,5703
6587,8900,6858,8743,9451
4931,4548,8479,2136,6863
8747,6584,4461,4897,1819
4872,8715,4849,1259,8563
7470,757,5573,9437,5432
2601,8201,1383,6877,273
7087,3465,9173,3946,2208
8625,8878,6757,7104,1014
3620,5851,7599,8081,749
9418,2954,9464,4268,4213
8028,1738,4970,3601,1176
403,6203,9378,1787,3080
9651,8874,6545,8825,2821
8754,7450,1699,5511,4555
2714,9131,407,313,7213
1156,9732,167,621,4000
4380,8649,5739,9351,2250
6915,9754,8454,6293,1541
1534,5944,416,8080,4769
3238,6835,2220,4937,2346
6775,7652,1478,7183,7965
8691,8339,7697,8859,8960
1698,3240,7609,7437,2591
9860,4352,2346,8314,646
3888,9849,6591,4305,7930
1360,7543,4765,3581,2481
7112,357,134,8590,7540
8099,7282,5880,5797,6141
4841,7496,9382,2450,4933
1974,2311,9286,4320,626
9932,8209,476,6523,2514
8406,7884,58,3172,1465
2540,284,1823,2674,8874
9364,774,6156,5244,6572
2298,85,4068,1681,2536
9001,3655,4848,8288,7975
5474,8220,6185,5950,4744
8700,4357,2628,8758,7529
4094,1299,7813,5918,3974
6688,5282,4748,2845,526
1321,5143,611,5389,6825
3148,4391,480,7996,2679
8456,3471,900,4641,9422
5644,3341,3779,8273,2100
1308,2367,3399,9122,8286
7374,5810,3568,2122,8655
4094,3444,3799,4706,8834
624,7855,3225,1104,5851
5905,9560,9322,6806,4202
8744,2450,7543,2524,723
9643,3833,3091,3043,2955
1377,417,8766,4946,2540
7422,9040,5984,1221,3747
4818,1846,1602,8044,2951
7453,3950,2512,6776,756
6714,5521,3207,4257,8046
3931,3901,1879,7023,6945
4835,8401,7362,3601,3347
9903,1023,2387,5888,2245
6135,707,4091,7737,8751
7042,5191,2702,9554,1968
3459,6268,7489,6666,526
5535,597,4428,7415,7620
1373,2250,6022,8736,5851
9369,8639,6874,1756,4528
9119,7892,5235,3211,5629
3986,254,820,6689,9808
2788,148,6077,278,6814
6604,5814,7412,1032,3229
5033,2405,5480,1055,1142
1331,424,9782,8206,2181
4310,7326,73,9545,538
5703,3532,792,6523,221
600,9312,370,6678,9591
7184,3282,5405,4597,4315
8635,9631,6721,4115,686
7863,5446,1111,7645,3653
3293,1955,980,3367,1500
1518,9070,5033,2310,5594
5254,2911,4906,5624,9589
4497,2809,2872,9903,7407
7187,8538,7038,3908,2653
7725,1771,8100,8836,9417
1754,2129,1372,2734,5497
2873,4252,4567,7907,6563
161,3162,9474,5068,8786
9063,9566,1596,1935,9469
9004,9123,8008,6042,3031
661,3767,4803,8762,2604
4220,516,4733,5593,3251
230,8467,7504,4798,6374
4067,4959,9536,3541,28
8323,2605,9594,9920,4541
9064,8924,3664,7072,4966
6695,7734,8733,1498,6497
1337,5719,7014,6071,1312
265,6302,9779,7770,1100
6153,1837,6060,5689,5379
6089,4013,7985,5684,3933
2526,4748,2857,6191,1821
7823,2886,9555,6557,4385
6053,7895,104,3067,3967
1417,3333,270,1196,1103
1371,7349,2941,7432,3039
8320,3521,7053,6306,9205
986,8832,3953,3843,5024
5775,1667,7911,5331,8225
2296,1384,6121,2401,4451
89,3818,7785,359,5015
8888,1730,2364,1829,9162
5404,150,2684,2457,6456
1889,3444,5289,5843,7288
313,1618,8956,8224,6950
7182,521,8334,3303,2923
2786,3393,6742,571,3752
1757,9460,5483,4122,1289
4646,9526,1439,7330,1984
