500 6
6102,5550,2544,3639,1140,8442
5203,546,1412,3598,3663,4438
85,6903,9499,6853,1277,6694
4769,5391,1810,9515,7907,7781
6304,8613,9163,9581,7895,2781
5029,3998,8332,7574,7637,9472
6017,2840,18,7430,6439,3682
1868,6524,585,1368,3377,1863
8062,8147,7254,9873,7663,5162
7654,3968,3775,6817,3549,1671
9599,8579,5669,7931,6154,3306
7404,2171,6147,7423,9601,2587
1105,1470,9112,1691,2838,2490
3554,901,638,809,774,8301
5971,8429,2270,9747,5247,5819
1418,4847,4399,7087,2778,553
394,183,2725,6542,7606,2327
9129,8711,3797,8242,403,6636
732,3958,7538,1371,4767,8313
9673,739,6742,1943,486,1990
7763,1905,6837,2162,8992,9616
2716,9387,9800,5441,5929,7406
7769,5059,6118,1567,3302,6521
8203,4034,479,5741,5405,5247
4055,5078,5987,798,7022,6473
2788,4785,8378,9626,6948,7371
9243,9664,6758,9043,5106,2688
6449,2875,7748,2568,4443,1050
9089,2646,5085,9569,8388,491
4817,2443,5569,804,3242,2592
7278,6030,7377,5657,5657,4325
3028,4900,3990,9787,3944,9097
2476,394,1973,224,2962,6416
1275,2052,9063,6360,1622,7451
6851,6439,9895,2421,7244,3137
5013,4522,9168,2391,179,4826
6716,3208,9727,707,2996,3671
9804,5472,4065,1777,5697,7028
8194,6972,9080,7257,3333,702
4709,184,7142,4604,2606,4386
7742,7619,8908,6911,10,9087
1737,6727,2296,1464,7435,5292
5136,7239,764,9201,9017,6462
6229,7211,3434,5310,4468,6768
6012,9177,6952,3154,3782,9558
7541,1525,7178,6449,8436,7188
5537,174,3916,7833,1639,1351
3125,6775,8591,3890,5977,7609
352,2207,4820,3787,7517,9289
555,3530,8467,7508,6685,2250
7067,4226,3775,4245,676,2212
1434,6213,2387,5350,4047,4026
6702,7173,802,5294,1063,6780
2903,1416,8987,7724,5204,6505
7013,5759,36,5481,3268,6722
7731,335,949,1506,4580,1625
3719,6014,7839,6106,1365,1886
133,8068,9059,935,3362,123
7715,6265,1539,6703,3989,6743
3209,1003,2503,3245,6484,5771
9968,4215,6106,917,5722,687
2542,9441,6702,381,5548,8067
2268,5681,6135,1327,6617,9497
1450,4333,5763,2989,1037,9752
9733,4246,755,2237,7492,7240
8008,7461,1455,4115,8378,7177
4803,921,6619,1505,1303,2168
9572,3571,7849,5708,4898,4467
5206,6349,8801,969,9339,9838
722,9072,4085,1478,1310,1578
8718,9318,9039,174,3434,7417
7351,8237,8339,3971,9743,9642
6139,9315,3213,3989,5024,8112
8456,230,4462,7258,1200,3801
7096,1923,2874,1181,3401,4184
2760,2120,3503,1799,2294,6938
9217,9646,5176,7556,3618,4919
7198,9757,4234,412,3746,9259
8525,2203,9490,2987,9461,691
6788,6558,2614,9662,7740,6016
3847,500,8136,7350,2299,431
4288,1516,77,9464,9072,3695
4384,6271,3453,8619,6684,7200
7878,5209,9404,7368,8196,8866
8059,4985,5424,674,4648,3164
6690,8495,3665,4827,5846,5964
5258,135,7481,5336,9600,6554
9032,3984,2826,2485,2603,9510
9686,481,4720,9090,7850,2916
7956,5910,7902,3380,6584,2551
6545,3274,1046,210,8102,6893
6175,3360,7029,3657,8697,6629
211,7729,614,3038,215,3217
2548,9901,3699,7268,8991,1549
185,6947,7460,8087,328,4044
638,6874,7319,1685,7085,5421
8579,3260,8782,5608,6918,7479
2237,7130,5208,2851,168,5423
6069,2717,5324,9768,9985,4316
1318,170,1263,8778,8258,1592
2823,8897,8466,142,583,5551
5564,9162,8812,4346,4771,5730
1825,7009,2861,7034,9861,3029
2458,5930,5746,7783,5699,5732
2099,7017,5903,3362,5796,4161
4954,8620,3059,3421,8762,3643
8972,4327,2806,7784,8673,7577
3515,499,4586,6376,7534,4447
9406,9992,378,5152,7775,6077
884,9875,3095,6787,3238,8891
949,8193,7511,4009,1614,6274
7652,586,601,458,8371,9275
8036,1886,9775,2623,8262,7310
7071,7668,7302,7449,2821,5078
3526,3706,4954,6622,493,8192
5514,1443,6385,3025,5452,7999
9300,3104,8585,9902,3563,6956
9178,1600,8843,8954,4223,7106
6264,1294,4775,3567,8743,7597
8646,2270,1303,3600,8892,1797
1792,4406,3240,8177,7432,8692
6176,6733,1797,4762,6636,5361
1719,5814,6961,562,4768,1184
7669,1032,2478,2444,4600,1222
41,3246,3493,1345,6846,2385
3142,8638,6792,6382,6815,4225
5075,2992,958,6873,7754,7594
2234,9474,3408,9196,36,8177
380,7706,9210,2859,151,3810
4082,193,7056,7575,1538,3903
9960,4680,2541,6753,1062,9357
978,6138,2350,1936,3011,105
9531,5245,9579,2940,4442,9616
1117,4822,7322,328,7682,7473
4139,1764,7666,1196,9340,9204
5099,9300,3884,7641,6054,4947
6999,7032,1085,9349,8969,4097
9454,8500,9343,9033,1440,3785
8649,2558,8608,5972,2887,6290
3445,7026,8055,1112,8222,7395
317,3322,6696,4202,963,2750
9149,7962,9783,235,7312,8752
4332,6767,7253,3675,5800,8694
7460,4450,1253,6068,423,4140
2359,3869,1167,415,4981,9389
7810,5298,2712,4507,9500,3675
7257,8650,1638,7040,8886,8951
5793,3218,5718,3046,6894,1518
1740,4354,5969,2993,423,6392
7134,2783,261,8301,3198,5243
7691,1009,542,403,5516,43
4079,2773,8693,5718,9814,7580
4669,5607,798,387,8654,7692
1906,395,2047,7876,3388,2471
4269,522,5254,4531,8823,8453
9774,6514,9462,317,6918,4978
360,997,7752,9054,6715,7566
6634,1384,3174,7432,1772,1828
5125,3678,2223,7173,1554,5612
9644,5823,6135,4899,354,4959
3352,129,1474,2814,446,8392
7792,807,9390,5544,9861,6105
3111,6495,7490,6285,3928,9262
8114,9054,2941,338,6227,4496
5951,5871,320,2086,771,675
7045,4123,804,8519,6937,1251
6912,4729,2058,6302,274,1919
2407,3385,8415,9898,9671,2344
9160,7785,1398,2102,8124,7625
6598,4075,3497,6918,6161,4268
7594,3207,8392,8398,1727,5329
9650,8639,59,1708,4941,333
3628,7349,3719,2044,7247,3390
4388,6408,1176,5787,8510,9300
3413,5109,3376,6911,2028,9537
1179,9622,2745,9571,8021,4472
4901,7671,3112,4960,9380,8054
5294,3009,5403,9013,5053,2651
2404,9442,9060,3580,5229,7571
2881,8643,2680,6257,5554,4708
5795,6733,4331,8540,6305,2352
3013,1207,23,6125,6168,9404
4180,1462,2413,9583,476,7467
2235,2880,6910,1295,6461,2139
8866,9342,782,1547,5599,6336
6256,1394,3070,587,9935,9376
2940,2948,583,2964,9074,6751
2368,3254,8214,4782,2838,8691
2249,5073,1571,9159,6369,8033
1299,5236,7375,2082,6783,2975
8419,3040,4369,1490,3628,4305
866,6568,7253,1450,9532,6328
8202,1900,9582,6417,6682,2421
5108,8932,7494,6680,8091,3864
4713,9391,9100,2089,1473,5884
5064,9892,8924,9434,1382,2552
3739,2249,9120,993,3699,8653
7321,1902,553,6904,8319,7236
9325,3427,6168,6820,107,4259
684,4821,3650,9785,6910,5124
5669,1975,5017,4594,1409,6399
7147,5148,8649,6268,6142,2348
4921,3463,4251,5474,367,2570
2711,9693,5998,8879,6513,6106
3139,7198,927,6790,6983,7838
1914,2653,9813,6931,7247,1223
3331,4395,6372,1980,663,2514
4329,5584,5977,8580,1059,6345
1150,3770,6039,7149,2649,2552
3255,5789,9751,4183,2579,6735
2021,4493,9388,1835,1425,6636
3058,4756,1031,9430,6736,1695
1944,1066,7280,7922,9646,8339
4268,797,2110,307,7946,4760
2860,1202,549,2612,5385,3128
9347,7406,7622,8735,9241,9047
5372,2299,3803,6404,1730,540
8099,3675,1606,5379,1597,1253
3719,5866,2050,5829,6174,9997
590,9034,1199,1139,1646,6584
4268,994,3991,1890,9729,3232
937,5102,5532,4741,1506,7263
5281,9605,938,6888,4985,2535
8141,8704,8402,192,4534,4576
189,5124,3611,1389,6264,5258
7973,532,6252,1965,2423,5982
5197,3360,1084,730,8101,2590
7993,3383,2196,8931,272,7181
1467,8413,5886,9870,8605,420
4446,8795,5545,8058,185,1810
3316,8159,2343,9568,124,4766
5550,5322,8127,6634,6052,6228
9225,4046,9612,1421,2978,9884
8602,4446,8298,4489,4316,6904
4909,8763,5700,455,6821,5885
2265,137,4044,4608,9706,4168
9375,5257,9490,7502,1891,5543
3731,1117,9589,3343,2538,2568
3228,1141,7015,1526,5630,1332
8431,540,95,4131,995,6917
16,3261,7055,4060,7870,6762
8229,7245,2019,7719,4747,3910
3262,8478,5028,2852,1821,7566
5421,5050,8708,2436,6577,4338
3768,5008,4878,3864,9139,5874
782,9156,9135,7837,3216,7005
4599,1445,4250,6618,9165,8998
529,2428,7476,5557,5281,9298
3124,702,4348,1832,3139,925
6171,6907,5933,1049,772,5073
6924,1554,4229,6060,9392,7446
3065,3992,8892,7316,611,8057
6314,1141,485,3791,6699,5766
3089,9823,6469,7437,1656,9608
8363,7827,6516,4297,8877,7288
9370,5801,8843,3600,1861,8235
1046,4927,2228,9938,2244,2840
7995,8559,3981,8481,2350,680
4248,5439,504,717,2876,2160
325,1240,9988,6841,5537,8865
4129,4907,4666,2973,8507,6528
1209,9554,1455,3437,9492,3699
6277,7488,2258,259,5969,4609
940,217,48,1444,935,2925
3605,1260,4165,3593,8101,9702
2458,2231,4610,7125,5205,3118
3653,6414,2672,5109,9851,2164
8808,6129,9652,1067,6389,5622
5676,7329,5840,5725,8774,6775
8650,2379,8035,2816,5973,6137
2519,8432,8369,7129,5558,3574
247,9211,9988,2920,4320,9840
5084,3129,5970,4737,4197,2359
360,9874,9689,6200,5599,8463
2976,4250,843,1012,7066,6816
7149,9585,5249,5519,6715,807
9093,6962,19,9082,9882,4339
8923,4967,7469,4894,9705,1666
7253,65,1540,6943,6266,7140
5406,9242,1390,6249,254,8456
3066,7404,8042,8316,2924,4757
9123,2018,1720,9143,1101,1603
3482,24,6571,952,4918,6276
2618,2172,6342,4159,9115,2608
1300,4522,1851,2690,772,2106
1147,3839,9511,9190,2155,2435
3947,1279,4454,5667,422,5555
7270,3905,5579,3841,4857,498
118,7476,2671,6460,1636,1787
9069,2937,6309,921,5627,7081
3028,6775,921,2539,5965,3077
4975,9913,4356,9429,5580,4779
4984,2851,8685,564,6693,3543
1062,6811,1020,3733,3272,2657
5520,2342,5594,1830,3263,1221
8912,6292,7997,9833,8831,3962
2910,3807,3875,7267,3236,9456
2046,8220,2308,732,8785,9001
4275,9847,5813,5295,3581,9086
7952,9102,1429,3546,932,4693
4768,9844,985,2766,9677,9816
