1000 8
6428,3731,6368,2831,4443,5316,8237,5983
7363,3296,981,6279,3235,6783,4798,3075
8473,4840,3680,2319,5620,4143,2148,6424
3423,6715,5549,4369,5361,5616,3129,3445
4266,6306,6375,4484,6937,6201,2939,6922
6223,7626,579,4499,6773,4112,4170,4359
4888,5605,2083,4789,6272,2013,8013,1002
6049,8974,157,6275,2278,4486,3481,9068
5879,8228,1359,7109,302,6083,5763,3780
1065,8209,6233,6680,673,2166,7341,7740
6051,3001,5992,3992,3691,3765,5214,2541
9330,5349,2816,2616,3772,6698,4800,1763
5899,948,3691,5112,8808,2979,7293,5597
8148,3720,9151,699,2532,6053,2903,6661
1570,4810,6404,3012,4457,3830,4449,8474
1835,2096,7908,4502,561,4469,4885,7666
1535,3983,1781,5247,2294,8622,2486,9780
9087,3120,4079,5449,7658,5197,8176,58
9096,4686,807,605,5221,7569,2277,8307
7869,2173,6046,8677,2892,5232,3234,3317
5644,567,4364,3290,5257,8874,1288,7780
5466,7886,6407,4428,5910,4364,3015,7894
6112,4579,3119,1731,8243,3696,5835,6398
644,4964,3225,6287,4167,8715,7016,2182
3787,6157,3617,2799,5780,5826,1717,8076
9109,3714,8556,7874,4440,6195,1531,363
4627,6464,7710,3537,1694,6976,3996,4879
1238,5099,6189,2730,7826,7570,4852,7336
4656,6423,3948,3494,8704,2742,4909,3571
4058,6140,6405,4485,7599,4912,2517,2257
2055,1976,6056,5329,3458,3118,7535,3241
5845,8713,1553,3204,5716,1317,7360,501
3027,7724,7680,2660,614,8039,9962,1178
356,1161,6788,6466,6488,5581,2454,9996
5623,9464,16,9030,2959,3993,5805,3423
2169,8954,2806,5682,5900,3015,6657,5196
1050,8514,2678,7987,2418,7371,7371,7253
2743,5318,7121,6170,4189,1202,8123,9116
4730,1374,4445,8883,3010,994,5465,5550
3052,5661,5890,7317,4726,6795,9605,3682
3420,5366,5419,464,3939,9828,5439,8328
3481,6825,2000,5694,958,3417,5362,6566
