500 4
6905,4608,2963,2126
7437,3510,8469,2883
4395,7173,4650,8750
1071,7817,9242,9498
7429,4140,560,1178
8346,9479,5074,3642
9913,6235,9838,9393
8920,9453,5365,5825
4061,8329,7952,1498
1839,6421,4381,6235
3594,9031,4985,4666
6849,4227,4164,4279
8368,4725,5457,6714
4205,531,357,4119
6767,195,3512,5687
9648,8878,1513,3709
7207,9465,5208,9047
5886,9589,5282,9481
8621,267,4147,5470
4495,8312,9749,2864
3038,5207,9578,7243
5739,9935,1362,2506
131,4875,8194,9780
3753,9707,3490,961
9172,8698,8,5059
8287,5290,4540,6908
5558,8688,2379,54
7000,2128,2918,38
7336,2497,7282,3075
2432,8645,5582,2564
3521,3776,2344,7274
3483,5834,8235,2656
4532,8244,7715,2819
3534,2255,9728,9093
943,2107,9147,7944
4236,2066,7983,1572
4563,5265,4648,6995
3911,230,9559,7432
4006,1904,4707,7490
7738,2943,146,2270
1187,7862,5090,4722
117,4818,3815,1061
6926,2963,9005,1163
5029,6988,2735,9592
2254,7384,6588,6165
7614,6148,3598,1621
8052,8305,9112,5790
1248,9259,8061,2435
7121,3151,7157,7238
7970,973,8300,4897
3936,7305,6060,8965
4294,8796,8558,6548
6180,5146,2714,3795
1295,6312,5417,9347
4618,4529,5138,5866
3788,3199,8302,909
6351,5459,8148,4321
6433,6448,9219,369
3754,5279,9335,8049
4075,7893,4598,256
3040,7312,4051,4335
3625,9468,3682,8243
3998,8820,4110,7787
2020,2412,8697,8371
7872,6845,2693,4305
3294,1912,4674,7049
7191,4009,5098,1267
1903,9696,1523,4943
7009,5575,9278,634
5044,2961,8878,9042
1781,2988,6829,3802
5401,5526,2173,3273
2372,4867,7578,5667
6779,2253,2716,3971
6263,7814,5239,8166
7511,6763,3110,4520
2338,2388,5155,7382
5349,4034,6425,7131
7023,3254,933,2424
8781,3107,5698,1154
7974,3277,6821,4754
5530,9538,8726,1794
7352,3965,9960,4864
728,3071,9385,3067
5459,4541,449,809
8575,6874,7940,5598
129,8873,8023,8911
1981,3721,65,9955
6998,6887,4710,2529
6425,3436,4323,3778
7402,4284,8642,8131
7355,8027,1198,2815
2568,1648,3624,1144
8523,1564,6743,8652
438,4767,7563,2419
8488,7629,2375,5487
4516,7085,8017,941
522,2341,4719,7925
6625,3362,6056,3981
1390,7255,6796,3959
8904,421,5103,7427
1986,1847,6079,2424
6614,3643,4844,5103
1272,7219,590,5789
4305,8608,6731,4827
949,1451,2753,7575
4813,8809,1556,6203
6065,8353,162,4969
8775,5266,2396,761
7113,8476,3185,3727
2119,8030,8830,3392
5250,9421,9181,9555
8029,5912,4383,8979
7363,7136,6554,2177
5946,8111,8380,2011
6465,8543,6981,5240
3810,9377,6001,924
7853,9187,4651,9973
7217,3482,3365,2468
2904,2546,2023,934
8459,6407,9913,5822
3543,6468,7999,9490
4580,6380,1501,1045
4924,8483,6285,8735
7860,2287,9659,5714
1474,4311,5687,8692
7793,9052,1160,698
1599,3184,1633,58
9591,1546,5881,3135
8015,3881,2626,2595
262,4127,3640,5187
2611,9926,3922,471
2214,3581,6186,3689
7892,1873,2382,5686
926,3543,6385,2525
6727,8018,2584,6319
9565,8465,9455,7580
2347,2081,176,2609
6209,3817,7796,8820
3743,1718,9292,5958
5300,5478,9647,3193
7352,2029,8880,8279
5572,5265,805,2300
3283,3389,8619,2848
1855,8075,429,4203
156,605,6812,6365
4422,4609,5185,8166
6328,4478,4124,1629
9957,3772,4822,7309
5801,3702,5589,1374
8967,6394,3674,2251
9784,2294,5100,1640
369,5529,5843,526
6135,2656,6891,557
7266,2077,8724,3595
6556,2848,5224,6513
6621,46,3823,2423
3749,9412,3797,2717
5807,7472,4968,5591
9767,68,7232,137
5598,3075,663,1733
5732,7555,2290,2999
9633,1015,6594,6189
3864,1818,2702,485
1865,6525,2908,5614
5937,6706,8331,1744
4179,3300,7336,3947
3368,4568,4084,8966
7644,4748,700,3377
2303,2991,6376,1936
4006,2970,8125,7870
4788,828,8355,6653
7353,1264,2268,3291
7970,599,5036,2150
3899,2373,6097,7268
6941,181,6235,4586
4930,6935,7963,7233
9926,4339,9170,3933
7309,7295,1803,2098
8124,158,8752,5477
1423,1020,8769,9393
1620,3806,1544,5520
6179,7641,2789,3121
7823,9025,7707,2753
5960,5671,9987,5887
10,9157,9820,7320
6453,1624,9419,4577
1782,8171,55,3205
9192,8824,2599,812
2630,4143,6333,8810
1785,9122,1931,9608
8147,9639,2362,4108
5310,2349,9996,5321
1506,9817,2641,7959
1441,2061,2537,3223
232,2592,6429,9425
1416,9029,238,4047
3173,6571,2858,4958
5694,4789,4567,3842
4428,6930,7950,9739
9279,7947,5060,786
7764,7702,8746,9205
9763,1283,2429,9996
3875,8859,9421,5292
7888,9659,9340,1062
6231,2198,6020,1925
6988,588,5767,1417
7518,3718,1156,6798
1665,6217,7584,9430
3919,6330,8635,3683
7614,1065,3680,1490
9924,3101,6783,7813
2761,6123,8876,8992
8322,4896,918,5310
5485,6686,6728,3003
404,7884,9801,2070
4101,7386,1501,8021
3717,136,1704,1331
1202,5384,2822,1127
8486,9605,8941,1247
5729,7817,240,4051
2714,1159,9362,8199
7845,6090,1203,8250
3975,1005,321,8076
8391,1822,6097,2108
1959,7802,3440,3161
3187,6262,4289,1673
5868,3230,2921,1597
1047,3161,5649,3761
4321,5011,1961,2166
1102,3164,417,5077
4169,738,3154,2561
2560,9252,4670,4519
7054,8110,7681,242
4373,1970,1915,241
5201,4836,1839,6249
7998,7488,10,2319
2500,1971,4486,3603
5136,4903,8680,9306
5641,1835,1867,8202
1087,6537,2722,8142
4648,403,8384,9022
2374,300,9264,7576
5137,1103,3825,3135
8592,3836,5455,1092
5807,9941,4695,944
4844,3376,250,486
5211,2118,8688,6299
8655,1410,4442,3304
1814,2827,2327,4188
3127,1591,1765,8264
2695,5590,1400,1287
9426,6855,2380,5234
6797,7075,6178,1642
452,6429,2128,5664
8547,816,1963,7203
2226,6406,508,4040
9233,2835,8229,2361
4427,9995,626,7122
5585,2026,8410,5011
8882,790,246,5680
7866,6425,7322,8319
2854,9450,3983,1402
266,5947,8606,2493
2353,9114,6533,1587
1950,4763,3948,6377
4758,4575,3500,344
6602,1911,5356,5484
2701,5602,1164,568
2027,8486,8887,4882
7936,2871,6285,8203
8818,4891,696,1172
4005,7230,2759,5956
1994,6708,2333,6753
1283,5834,7097,7885
7745,2453,3370,447
8056,4535,1016,84
3021,9904,4966,958
2775,1251,9162,1594
6142,9858,2766,148
7089,5526,6104,9083
2235,8438,5837,3519
4272,2934,1404,2018
5388,4775,2465,3444
9310,3481,3528,2332
3386,8494,3291,6161
9746,2453,7755,5889
2312,522,6038,9402
6048,2143,8486,8283
581,4323,1802,4854
7257,3207,6872,2645
7983,9338,6090,7294
2820,9618,9627,6206
8113,2918,2367,7860
5372,123,3749,7685
645,9788,7087,6694
1931,5573,4978,2512
9897,6781,7366,7154
9989,4239,9800,7972
3577,5890,5266,6397
5509,4893,2603,3622
7812,4971,1482,3184
5095,5232,870,5741
5020,7957,2435,6951
3531,7414,9464,3428
4195,6831,583,4184
1070,384,2156,4648
6275,7423,1045,1784
2317,3649,5407,129
8621,6889,3314,3717
2122,4184,9458,7142
2142,1894,4094,5673
9308,3558,9102,3504
389,9686,7688,1460
70,9845,6108,6346
7269,7154,8130,9586
803,3537,9715,9425
427,3029,3142,2549
7214,2600,9692,9356
4495,3786,5030,3803
7345,4133,7308,7734
3819,4996,9194,3890
4842,5303,236,2111
2457,8366,1697,3260
1904,1413,2686,2331
4443,5828,4881,1657
8429,4573,1013,2925
8360,6044,6728,5705
177,4037,3440,3996
9033,2635,7887,3876
7938,8123,5988,395
6490,7685,3656,8395
9099,6342,726,3542
2171,5607,5200,601
181,6214,3526,8541
2258,255,4247,2436
4292,7687,6432,3326
322,4320,7202,8260
2444,3190,8656,8934
876,2312,7329,9975
8655,8056,3518,826
3664,8719,1427,3845
4933,4953,2387,7192
5209,6634,9628,9501
4321,6061,2827,4644
381,30,2905,2825
3220,1561,1760,4096
3873,9090,4072,2528
7146,7591,3355,810
6310,4783,4656,1244
9737,7043,8436,4946
3677,8065,4447,7999
4126,7275,2643,4508
7305,5549,7334,526
7110,9094,4623,984
8184,8695,3513,5331
6287,6869,6141,2598
1652,798,3842,1389
7841,2279,6335,1519
345,783,9519,4472
8058,2163,8980,5364
7712,6315,5890,4823
5409,513,5807,3594
9209,9321,8926,5496
6190,5067,8095,7842
5866,1938,9232,3707
4218,5567,5227,4563
6351,4746,9035,4409
6910,8016,9774,4622
4331,5664,9446,9741
6178,5254,3336,5387
4575,2262,884,766
7330,8980,8609,3196
918,7841,6904,5136
3409,2132,9700,9760
6879,8736,4170,3789
6752,3944,8412,1084
9609,7858,826,5787
3112,4162,1175,7688
6424,2059,8454,3755
1039,7063,6951,1958
4905,3856,7095,8314
5988,6795,8074,2867
5531,2244,6656,2284
6188,5069,3368,5798
2927,4194,1585,6039
8357,2760,3728,4781
4820,2182,8536,5860
9246,5488,7818,4152
9344,4913,2466,5332
1709,540,8200,7240
2785,4856,9525,8974
9925,2893,4772,2853
7088,6357,8893,5445
9118,2621,227,3938
4804,8764,9799,4051
4252,7618,8203,3597
2531,670,8929,4241
1210,7130,1482,3996
1986,1007,2970,1912
3900,7743,4766,989
4101,3659,6435,3219
6281,6662,7158,1085
5426,6957,5137,9679
4575,3340,3277,7107
4010,2206,1349,5221
9337,2831,9218,1323
3838,2188,3236,7739
9932,8003,8728,4033
1662,5163,7253,7943
1826,4411,9029,7253
1369,4166,6933,5945
7507,210,3053,1517
2417,4402,6739,1754
7233,5957,3078,1072
8146,6314,8811,8078
4318,7539,2112,5980
2703,9365,3924,4530
3777,2953,1783,5147
7120,8716,1093,4627
8926,4147,6145,1343
8550,2885,3097,5784
8843,6176,6856,6989
2491,5667,5068,6809
3207,7181,2789,5911
6546,6714,441,324
9668,2225,5472,6788
941,6566,1416,9868
713,7562,1212,9263
447,4310,5048,9290
486,1904,6280,2977
7572,1348,9786,779
8530,2576,6691,5077
9290,7132,5401,8958
9357,874,5747,299
7440,7163,167,8153
4726,1380,7417,5173
5690,2465,4463,6176
4370,744,9154,1942
2092,8940,2722,622
1516,9413,5700,807
6546,1101,9765,5904
1976,5513,6204,9416
2676,6372,7570,7402
7752,4988,2576,3442
7454,7040,9619,1824
7784,8773,3767,9877
7714,6489,500,9230
5903,6200,38,2450
7301,9803,8354,9278
5316,4559,8694,7993
931,6264,5396,8683
1253,7973,2126,8707
5013,1746,531,2797
519,4298,2674,8234
788,3175,7465,6691
9375,7503,9141,6677
7306,7496,5955,2623
2056,4649,617,2987
914,6014,1671,2167
3987,3797,874,9000
5543,1406,1798,6063
5704,4473,4297,6492
7648,1762,3184,7023
9265,2326,3700,6572
9823,9656,9196,1879
4305,9813,4866,5220
5827,6537,7387,9815
335,8262,8816,5879
9668,614,1943,5373
5088,6241,1866,2737
8003,5051,9760,7269
7377,3461,3842,7201
3117,3038,9080,7423
2852,3947,2643,8680
485,31,8495,820
8294,7311,6700,7963
7926,8643,3336,3015
4884,5203,5752,2888
254,5513,158,7632
8975,4000,4833,2092
7039,3913,9516,9891
7861,2159,8571,8346
2191,7067,9167,485
4378,5867,8448,2305
4511,1785,5320,9396
6988,1073,2284,7243
6586,2442,4875,5561
6443,9708,7654,3482
3622,7170,3373,1483
9330,1945,9830,1521
9012,8997,2007,3391
4865,456,5696,9376
2241,1017,8772,9230
2090,1057,6474,8677
3500,1349,4238,9943
1058,1893,3425,4681
9063,6799,6164,8393
8745,5994,9915,7757
4992,1922,1148,9857
