4000 7
5625,2270,5786,4714,5080,4829,4524
4032,4759,7162,5365,4625,6814,5970
7366,6734,6464,4966,6179,7707,4648
5691,5665,5421,6445,4193,5390,5253
5344,2619,5494,6918,5741,4942,5416
3745,6982,4362,4586,6168,3499,5486
4094,2906,3421,3117,3435,3314,3874
6007,7497,7042,6867,6207,8228,6824
5881,4925,5083,5588,5681,5785,6279
3796,5681,3606,7594,5969,5816,7069
5173,4375,4746,3879,4261,3677,4848
5899,3468,4395,4097,4159,3564,1481
4235,5338,4501,3366,4641,4432,4407
3928,3686,4784,5302,4292,6580,6224
4960,3931,4254,3353,4714,3705,4123
2229,2899,2193,2422,2357,2399,3221
5483,3071,2907,4665,4403,4637,2414
4138,4823,6488,3712,5407,4691,5939
2171,6073,4221,2492,4203,4014,4376
3853,2664,4053,3669,3798,3880,4317
2651,3979,3187,2479,4673,2342,4182
5777,3674,6486,4678,5105,3567,3411
3288,4189,4106,3979,4627,4038,2948
4897,3010,6153,3070,2587,4804,4460
5090,5899,7096,4798,5437,5227,7009
5695,7452,5601,5596,7602,6060,6188
4433,6425,3802,3899,5226,4706,3976
5763,5987,5510,6958,5687,4849,6429
3893,7259,5462,6384,4062,5989,6169
7794,3465,5574,3987,3552,4940,4767
5115,6306,8759,5489,6501,5603,5350
5748,6436,7352,6475,4586,8565,5395
3802,5374,5006,4248,3418,6511,7155
4612,5357,4805,4839,5188,2257,6219
3385,5188,2455,3892,5499,4490,4804
6503,6091,5840,7936,6366,5820,6240
6415,5088,5573,6738,6946,5287,6263
3313,3195,3739,3692,3350,3255,4652
2856,2466,2755,3319,1586,3862,2291
3342,2820,2643,1979,3134,3879,3012
7148,5564,2483,6184,7116,5076,4989
6500,5393,4266,3920,6511,5165,4678
3582,6756,6698,3513,7303,5598,5872
5675,6377,4754,5825,4560,4735,5973
5844,3759,3465,5070,5135,5442,2240
5580,4885,4147,4977,4301,6402,5417
5554,2806,5853,3841,4220,5535,3440
6940,5359,5422,5865,6325,7110,5202
5596,7557,4875,7896,6124,6146,6181
3556,3688,5064,4991,4631,4167,7302
4423,4805,4969,3486,5637,5068,4136
3689,4105,3521,5873,2314,6696,3894
5227,4285,7661,4447,6163,6653,4675
4466,2979,4592,3834,3001,3940,4641
4977,3868,3900,5052,5222,5604,5047
5501,5244,6295,6416,5616,5075,5329
5309,5680,6174,6770,5234,4257,5875
4167,3326,2784,3629,3339,3952,1708
3658,6450,4952,2362,5410,4886,2534
5753,3653,4119,4284,4156,4954,4920
5707,3866,3784,6063,3801,4502,4601
3631,3851,3383,1296,4329,2463,3579
2969,4690,3816,3973,5094,3308,4809
6064,5437,4879,5894,5785,6056,7778
6000,6853,5856,6023,5029,7989,5187
6553,6466,7921,5931,6931,5540,7431
5602,6737,6281,6533,6087,6083,6516
7073,4316,7466,4063,5784,6802,3317
