2000 7
2776,4881,6346,2238,9624,930,8726
2746,6491,2628,4738,5080,3266,8203
6306,5654,6986,6261,3669,7874,1301
2631,9015,5255,819,7713,3433,8735
5190,5547,6434,6149,3127,7297,2196
8494,4200,5650,2040,6536,1217,9111
1535,8808,5170,1213,8088,1294,8354
1714,9670,448,1660,9007,5037,5731
7207,8691,1948,4854,5913,5130,2706
1515,8713,6470,47,9054,782,4802
5474,3941,6859,5999,6427,3587,513
6455,3446,1260,9182,3991,8107,2233
6187,4246,4321,889,2122,7024,7857
1084,6699,6112,4185,593,1304,6861
3654,717,7237,6743,6038,2272,7075
9820,2538,4466,5813,4603,7863,1038
9317,7296,2162,7530,3150,4825,1614
6190,3771,6562,7861,538,8886,7820
5642,470,4067,2888,7180,9025,3758
8920,6885,3840,1247,8066,6034,2513
3928,5180,4745,7285,4940,3216,5566
3529,7055,4108,7436,3457,671,4840
7355,2528,7782,2282,7107,3158,5376
8899,7291,5378,5004,478,9604,3777
1616,9446,444,3439,6099,4275,5332
7602,297,4224,5417,5919,2886,7664
4592,1252,8736,3835,4614,4537,1850
1471,9933,3443,6005,1401,8644,6926
5128,5627,3397,4598,549,9611,1821
9350,480,5326,6685,279,5919,4094
2223,2965,3239,3429,5705,6554,8255
3934,3059,6807,5597,9309,5193,4588
8136,5673,3243,2897,5980,6836,4397
3144,9445,1242,9305,7600,4496,1553
2869,3908,3507,7005,5220,2531,9569
6086,875,4480,2926,7501,7775,4855
8172,4171,4271,230,2775,4813,7205
5525,9573,1587,4455,1984,5553,5659
9951,3255,528,9177,1825,332,3205
1740,6187,6534,6750,596,7755,128
3586,2232,8149,8932,1015,9414,3748
5328,4791,4846,6967,914,9245,3959
7883,1349,3844,6273,7911,8654,1423
9091,843,1806,6843,2750,7014,5267
3404,4632,3282,8838,2440,3476,4742
8450,367,5393,3765,7701,4573,1265
8223,1711,5565,5701,6027,9443,1717
922,5972,3832,1354,9373,4130,9768
4575,323,5653,1787,2644,8624,6012
7909,7249,3055,5790,9975,5776,2325
3345,350,3181,5195,2273,8891,9259
7815,7936,6952,4574,7141,2751,3858
8623,8001,725,6935,3753,6151,2460
